Unnamed: 0,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,DNA,BTS,0.598,0.775,1,-4.035,0,0.0545,0.022,0.687,129.819,223123,4
1,Ko Ko Bop,EXO,0.749,0.85,0,-4.346,1,0.0468,0.0319,0.672,145.983,190423,4
2,Energetic,Wanna One,0.714,0.886,0,-3.076,1,0.0461,0.058,0.752,125.046,189356,4
3,As If It's Your Last,BLACKPINK,0.786,0.852,8,-2.687,1,0.0813,0.0687,0.455,125.036,213264,4
4,Red Flavor,Red Velvet,0.709,0.917,9,-3.315,1,0.189,0.0409,0.515,125.042,191139,4
5,Likey,TWICE,0.723,0.903,4,-1.262,0,0.033,0.413,0.443,132.006,207813,4
6,"무제(無題) (Untitled, 2014)",G-DRAGON,0.583,0.461,4,-5.153,1,0.0321,0.785,0.263,79.826,222868,4
7,NEVER,Sons of People,0.693,0.844,0,-2.257,0,0.0578,0.617,0.717,110.012,196853,3
8,Artist,ZICO,0.875,0.855,11,-4.561,1,0.242,0.138,0.874,117.998,192827,4
9,DINOSAUR,AKMU,0.767,0.755,11,-3.938,0,0.03,0.303,0.631,120.978,240572,4
10,Complex,"Zion.T, DJ Dopsh, G-DRAGON",0.82,0.458,0,-10.207,1,0.369,0.576,0.546,95.015,207493,4
11,Dark Clouds,"HEIZE, nafla",0.893,0.714,1,-5.428,1,0.0444,0.0693,0.832,104.975,167944,4
12,Why Don’t You Know,"CHUNG HA, Nucksal",0.703,0.923,9,-0.962,0,0.148,0.32,0.623,100.038,198420,4
13,Fine,TAEYEON,0.36,0.565,7,-4.898,1,0.0608,0.358,0.311,173.281,209157,4
14,REALLY REALLY,WINNER,0.765,0.77,2,-3.16,1,0.0592,0.167,0.581,103.005,203057,4
15,We Are,"Woo, Loco, GRAY",0.756,0.808,7,-3.272,1,0.0752,0.147,0.685,100.018,196020,4
16,DDD,EXID,0.718,0.794,11,-2.877,0,0.0703,0.0806,0.751,114.285,205821,4
17,Yes I Am,MAMAMOO,0.737,0.894,0,-2.779,1,0.254,0.14,0.648,120.115,211660,4
18,Phonecert,10cm,0.858,0.481,9,-3.649,1,0.104,0.391,0.773,107.96,197504,4
19,Come Over,"DEAN, Yerin Baek",0.496,0.63,6,-7.849,0,0.186,0.0747,0.318,168.225,266137,4
20,HOME IS FAR AWAY,"Epik High, OHHYUK",0.78,0.858,7,-6.331,0,0.128,0.357,0.5,93.984,291002,4
21,I LUV IT,PSY,0.874,0.764,5,-3.397,0,0.0488,0.029,0.887,124.954,188976,4
22,Beautiful,Wanna One,0.507,0.855,0,-3.62,1,0.15,0.415,0.391,159.808,196799,4
23,Don't Know You,HEIZE,0.699,0.562,4,-5.573,0,0.253,0.213,0.471,104.995,189410,4
24,Knock Knock,TWICE,0.672,0.968,1,-2.636,0,0.131,0.0243,0.473,129.971,195747,4
25,Open Up,Knock,0.563,0.815,5,-3.096,1,0.0391,0.0522,0.602,145.923,210547,4
26,Last Goodbye,AKMU,0.665,0.537,0,-4.65,1,0.0267,0.146,0.271,116.995,283800,4
27,LOVE ME LOVE ME,WINNER,0.754,0.816,9,-4.46,0,0.0694,0.0851,0.746,105.993,217309,4
28,LOVE STORY,"Epik High, IU",0.729,0.864,6,-4.957,1,0.104,0.561,0.761,92.982,236269,4
29,Burn It Up,Wanna One,0.642,0.849,11,-3.266,0,0.0563,0.0461,0.601,127.923,214942,4
30,New Face,PSY,0.836,0.728,0,-3.449,0,0.0563,0.0079,0.444,131.969,190234,4
31,It's Me (Pick Me),PRODUCE 101,0.505,0.963,7,-1.316,1,0.0573,0.0261,0.627,128.059,247311,4
32,Rookie,Red Velvet,0.683,0.938,8,-3.723,0,0.288,0.0888,0.868,164.1,197638,4
33,The Song,Zion.T,0.815,0.613,7,-5.009,1,0.0323,0.716,0.46,94.979,216627,4
34,WAKE ME UP,TAEYANG,0.577,0.513,10,-5.996,1,0.0292,0.0298,0.195,78.014,199458,4
35,"You, Clouds, Rain","HEIZE, Shin Yong Jae",0.509,0.502,1,-6.972,0,0.0915,0.765,0.341,79.16,205312,4
36,I Will Go To You Like the First Snow,AILEE,0.497,0.431,5,-4.755,0,0.0287,0.66,0.167,133.675,229678,4
37,Peek-A-Boo,Red Velvet,0.839,0.902,1,-3.612,0,0.0536,0.0868,0.639,114.953,189050,4
38,Never Ever,GOT7,0.794,0.835,5,-2.043,0,0.0961,0.266,0.771,101.039,194408,4
39,無限的我 무한적아; LIMITLESS,NCT 127,0.614,0.747,5,-5.655,0,0.0743,0.00934,0.538,78.216,247467,4
40,Holiday,Girls' Generation,0.709,0.867,1,-3.258,1,0.0672,0.0406,0.877,120.022,199563,4
41,Goodbye,2NE1,0.644,0.488,1,-4.042,1,0.0331,0.329,0.489,151.544,231445,4
42,Power,EXO,0.657,0.943,7,-3.031,1,0.0856,0.0315,0.76,127.958,222406,4
43,Shangri-La,VIXX,0.39,0.733,6,-3.513,0,0.174,0.155,0.511,77.59,202268,4
44,BLING BLING,iKON,0.781,0.94,2,-3.779,1,0.0669,0.069,0.537,125.009,219225,4
45,MOVE,TAEMIN,0.697,0.713,8,-5.273,0,0.115,0.0153,0.667,99.964,211949,4
46,YESTERDAY,Block B,0.63,0.868,8,-3.472,0,0.157,0.0813,0.854,141.905,168919,4
47,We Young,NCT DREAM,0.712,0.857,0,-4.194,1,0.0414,0.0579,0.338,123.041,224467,4
48,반드시 웃는다 I Smile,DAY6,0.48,0.858,4,-3.091,1,0.0336,0.00513,0.25,123.928,227159,4
49,Yes No Maybe,Suzy,0.633,0.781,1,-4.047,1,0.121,0.241,0.497,164.817,186987,4
0,Kill This Love,BLACKPINK,0.738,0.861,2,-4.141,1,0.237,0.318,0.58,131.98,189052,4
1,Boy With Luv (feat. Halsey),"BTS, Halsey",0.645,0.862,11,-4.757,0,0.0965,0.0923,0.798,119.991,229773,4
2,Feel Special,TWICE,0.708,0.959,1,-1.338,1,0.0604,0.0296,0.644,128.981,206867,4
3,달라달라 (DALLA DALLA),ITZY,0.79,0.853,11,-4.564,0,0.0665,0.00116,0.713,124.998,199874,4
4,Highway to Heaven,NCT 127,0.642,0.729,6,-5.005,1,0.056,0.0297,0.536,112.966,200573,4
5,Gotta Go,CHUNG HA,0.531,0.83,3,-2.526,0,0.0446,0.0741,0.419,101.903,221813,4
6,Obsession,EXO,0.704,0.729,7,-3.851,1,0.0624,0.0024,0.71,129.992,203520,4
7,Bon Bon Chocolat,EVERGLOW,0.72,0.828,6,-5.559,1,0.0612,0.0343,0.633,139.928,228682,4
8,LION,(G)I-DLE,0.741,0.715,4,-5.206,0,0.034,0.0318,0.187,109.989,210973,4
9,HIT,SEVENTEEN,0.619,0.908,9,-3.97,0,0.2,0.0865,0.671,130.056,203507,4
10,Blueming,IU,0.819,0.674,0,-3.145,1,0.0587,0.0849,0.682,106.032,217053,4
11,ある日、頭からツノが生えた (CROWN) - Japanese Ver.,TOMORROW X TOGETHER,0.632,0.805,5,-5.605,1,0.0429,0.071,0.576,110.965,230707,4
12,WHO DO U LOVE?,"Monsta X, French Montana",0.782,0.637,10,-5.63,0,0.264,0.28,0.389,101.989,189035,4
13,Zimzalabim,Red Velvet,0.68,0.878,5,-4.791,0,0.179,0.0028,0.531,127.991,190860,4
14,HIP,MAMAMOO,0.782,0.731,3,-4.581,0,0.143,0.0376,0.824,138.032,195307,4
15,Say My Name,ATEEZ,0.634,0.9,6,-2.614,0,0.0583,0.212,0.623,152.968,222024,4
16,MIROH,Stray Kids,0.563,0.979,9,-3.104,1,0.104,0.00911,0.503,126.063,207617,4
17,Butterfly,LOONA,0.582,0.866,7,-4.139,0,0.0414,0.0427,0.351,107.021,237756,4
18,Make It Right,BTS,0.638,0.703,7,-7.874,1,0.444,0.0104,0.261,105.766,226321,4
20,LALALAY 날라리,SUNMI,0.699,0.806,11,-4.818,0,0.0494,0.00133,0.615,110.014,174880,4
21,PIRI,Dreamcatcher,0.507,0.869,2,-2.245,0,0.0594,0.18,0.507,170.043,206819,4
22,Violeta - Japanese Ver.,IZ*ONE,0.727,0.885,7,-2.696,1,0.0467,0.00165,0.683,114.993,202949,4
23,BIRTHDAY,SOMI,0.687,0.844,7,-4.242,1,0.109,0.0163,0.596,180.055,185796,4
24,%%(Eung Eung),Apink,0.647,0.855,5,-2.944,0,0.037,0.294,0.683,144.867,208105,4
25,Blue,TAEYEON,0.449,0.46,2,-7.081,1,0.0404,0.881,0.137,99.468,212842,4
26,TWIT,Hwa Sa,0.679,0.813,5,-3.367,0,0.199,0.122,0.584,136.067,190786,4
27,BOOM,NCT DREAM,0.914,0.516,5,-4.178,0,0.0918,0.131,0.702,119.969,195080,4
28,Valkyrie,ONEUS,0.731,0.817,9,-3.906,0,0.121,0.0254,0.657,127.952,207586,4
29,Don't Know What To Do,BLACKPINK,0.628,0.64,6,-4.164,0,0.0491,0.0992,0.409,129.815,201081,4
30,FANCY,TWICE,0.697,0.874,5,-2.15,0,0.0449,0.0122,0.775,132.018,213880,4
31,Home,SEVENTEEN,0.741,0.547,9,-5.029,1,0.253,0.427,0.615,87.977,203732,4
32,Jopping,SuperM,0.74,0.835,10,-3.425,0,0.0839,0.0139,0.535,123.024,251293,4
33,Chicken Noodle Soup (feat. Becky G),"j-hope, Becky G",0.826,0.817,2,-4.081,1,0.0921,0.00502,0.168,97.053,235497,4
34,No,CLC,0.76,0.722,6,-4.429,0,0.0908,0.00785,0.687,120.055,181976,4
35,All Night,ASTRO,0.57,0.784,11,-4.607,0,0.186,0.241,0.594,150.062,223747,4
36,Don’t Need Your Love,"NCT DREAM, HRVY",0.619,0.881,7,-4.683,1,0.0834,0.0632,0.769,160.145,201880,3
37,UN Village,BAEKHYUN,0.674,0.589,6,-3.806,0,0.112,0.267,0.577,83.985,235509,4
38,NO ONE,"LeeHi, B.I",0.745,0.613,11,-5.368,0,0.0427,0.226,0.542,91.996,194596,4
39,Dumb Litty,KARD,0.76,0.887,9,-1.993,1,0.0409,0.037,0.24,130.018,193160,4
40,Humph!,PENTAGON,0.791,0.674,2,-4.025,1,0.0516,0.168,0.963,132.985,192613,4
41,ICY,ITZY,0.801,0.904,2,-2.819,1,0.0834,0.0324,0.814,124.979,191142,4
42,"How can I love the heartbreak, you're the one I love",AKMU,0.52,0.248,5,-8.675,1,0.0355,0.91,0.228,129.214,290096,4
43,Workaholic,BOL4,0.728,0.761,11,-3.008,0,0.0542,0.353,0.658,108.027,191080,4
44,I'M OK,iKON,0.676,0.597,0,-4.833,1,0.0346,0.335,0.433,89.882,216647,4
45,Come See Me,AOA,0.601,0.871,7,-1.469,1,0.0619,0.0374,0.66,127.978,202680,4
46,AH YEAH,WINNER,0.798,0.721,7,-5.052,1,0.0389,0.356,0.876,128.012,176906,4
47,FLASH,X1,0.672,0.908,7,-2.903,0,0.0596,0.031,0.584,132.045,211320,4
48,I’m So Hot,MOMOLAND,0.75,0.883,6,-1.712,0,0.0432,0.226,0.85,127.069,200243,4
49,BREATHE,AB6IX,0.818,0.849,9,-4.399,0,0.206,0.0641,0.605,124.954,217824,4
0,FAKE LOVE,BTS,0.557,0.719,2,-4.515,0,0.0372,0.00267,0.344,77.501,242334,4
1,DDU-DU DDU-DU,BLACKPINK,0.671,0.859,4,-3.922,0,0.0833,0.0313,0.39,139.931,209355,4
2,Regular - English Version,NCT 127,0.741,0.747,9,-5.459,0,0.0956,0.263,0.831,134.039,219107,4
3,Bad Boy,Red Velvet,0.714,0.736,2,-3.801,1,0.0457,0.191,0.814,149.985,210818,4
4,LOVE SCENARIO,iKON,0.806,0.707,7,-4.623,1,0.0307,0.331,0.746,118.009,209648,4
5,La Vie en Rose - Japanese Ver.,IZ*ONE,0.605,0.927,2,-2.085,0,0.0711,0.0784,0.694,115.932,221543,4
6,BOOMERANG,Wanna One,0.729,0.913,1,-2.749,1,0.0781,0.0292,0.73,99.966,183475,4
7,Tempo,EXO,0.686,0.842,0,-4.423,1,0.1,0.237,0.519,115.944,224483,4
8,EVERYDAY,WINNER,0.857,0.6,7,-4.712,1,0.0705,0.289,0.711,120.023,206351,4
9,HANN (Alone),(G)I-DLE,0.709,0.718,6,-3.315,0,0.0312,0.059,0.24,104.971,205820,4
10,Shoot Out,Monsta X,0.613,0.868,6,-2.792,0,0.143,0.0599,0.394,165.133,207173,4
11,District 9,Stray Kids,0.646,0.954,9,-1.899,1,0.18,0.017,0.512,90.017,213587,4
12,favOriTe,LOONA,0.59,0.941,4,-1.497,0,0.0555,0.00841,0.581,98.986,194254,4
13,Roller Coaster,CHUNG HA,0.633,0.907,6,-1.459,0,0.048,0.317,0.74,130.001,212136,4
14,SOLO,JENNIE,0.752,0.642,3,-5.165,0,0.0869,0.0861,0.388,95.043,169567,4
15,Dejavu,NU'EST W,0.638,0.656,8,-5.074,0,0.188,0.249,0.53,107.867,199891,4
16,Jenga (feat. Gaeko),"HEIZE, Gaeko",0.711,0.73,1,-4.979,0,0.0436,0.269,0.604,93.015,210158,4
17,LOVE BOMB,fromis_9,0.625,0.931,6,-1.885,0,0.151,0.138,0.863,154.061,199965,4
18,Baby Don’t Stop,"NCT, NCT U",0.827,0.739,8,-6.391,1,0.0744,0.0214,0.352,95.999,183020,4
19,seoul (prod. HONNE),RM,0.587,0.664,0,-8.63,1,0.0645,0.344,0.453,99.8,275955,4
20,POP/STARS,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends",0.566,0.769,7,-4.342,1,0.0872,0.0183,0.385,170.036,191100,4
21,FLOWER ROAD,BIGBANG,0.71,0.654,1,-4.765,0,0.0858,0.124,0.624,94.862,228632,4
22,데리러 가 Good Evening,SHINee,0.678,0.809,8,-4.162,1,0.0598,0.0383,0.561,119.979,223515,4
23,I Love You,EXID,0.695,0.832,9,-3.455,0,0.0288,0.000371,0.249,111.997,194699,4
24,Look,GOT7,0.643,0.913,5,-1.724,0,0.157,0.113,0.734,119.938,194535,4
25,Not That Type,gugudan,0.729,0.922,7,-2.133,1,0.122,0.0888,0.745,110.044,191994,4
26,FIANCÉ,MINO,0.664,0.737,5,-3.911,1,0.0304,0.026,0.505,139.904,207987,4
27,Way Back Home,SHAUN,0.745,0.739,10,-4.591,1,0.0327,0.405,0.556,99.913,214137,4
28,What is Love,TWICE,0.574,0.909,8,-1.573,1,0.0658,0.0987,0.569,169.966,208240,4
29,YOU AND I,Dreamcatcher,0.637,0.827,11,-2.669,0,0.0718,0.0794,0.518,96.997,195016,4
30,Turn It On 불을 켜,LABOUM,0.714,0.82,9,-3.73,1,0.0894,0.193,0.683,93.019,210683,4
31,dayfly,"DEAN, SULLI, Rad Museum",0.726,0.492,10,-8.046,0,0.0794,0.566,0.526,85.939,207113,4
32,Hello Tutorial,"Zion.T, 슬기 (SEULGI)",0.739,0.348,0,-7.477,1,0.0613,0.675,0.498,98.047,202343,4
33,Something New,TAEYEON,0.679,0.88,6,-2.344,0,0.239,0.15,0.789,98.022,200440,4
34,Pirate King,ATEEZ,0.507,0.946,3,-3.845,0,0.124,0.0427,0.494,173.004,195990,4
35,NEVERLAND,Holland,0.759,0.539,4,-7.573,1,0.301,0.0315,0.35,83.996,222929,4
36,Lo Siento,"SUPER JUNIOR, Leslie Grace, Play-N-Skillz",0.746,0.738,9,-3.67,1,0.207,0.0705,0.63,94.808,226184,4
37,Bar Code (Prod. GroovyRoom),"HAON, VINXEN",0.805,0.764,9,-5.275,1,0.219,0.263,0.298,105.016,222898,4
